Código departamento;Código municipio;Código centro poblado;Nombre departamento;Nombre municipio;Nombre centro poblado;Tipo centro poblado
5;5001;5001000;ANTIOQUIA;MEDELLÍN;MEDELLÍN;CM
5;5001;5001001;ANTIOQUIA;MEDELLÍN;PALMITAS;CP
5;5001;5001004;ANTIOQUIA;MEDELLÍN;SANTA ELENA;CP
5;5001;5001009;ANTIOQUIA;MEDELLÍN;ALTAVISTA;CP
5;5001;5001010;ANTIOQUIA;MEDELLÍN;AGUAS FRÍAS;CP
5;5001;5001013;ANTIOQUIA;MEDELLÍN;SAN JOSÉ DEL MANZANILLO;CP
5;5001;5001014;ANTIOQUIA;MEDELLÍN;BARRO BLANCO;CP
5;5001;5001015;ANTIOQUIA;MEDELLÍN;EL CERRO;CP
5;5001;5001017;ANTIOQUIA;MEDELLÍN;EL PATIO;CP
5;5001;5001018;ANTIOQUIA;MEDELLÍN;EL PLACER;CP
5;5001;5001019;ANTIOQUIA;MEDELLÍN;EL PLAN;CP
5;5001;5001022;ANTIOQUIA;MEDELLÍN;LA ALDEA;CP
5;5001;5001023;ANTIOQUIA;MEDELLÍN;LA CUCHILLA;CP
5;5001;5001025;ANTIOQUIA;MEDELLÍN;LA PALMA;CP
5;5001;5001027;ANTIOQUIA;MEDELLÍN;LAS PLAYAS;CP
5;5001;5001029;ANTIOQUIA;MEDELLÍN;PIEDRA GORDA;CP
5;5001;5001031;ANTIOQUIA;MEDELLÍN;POTRERITO;CP
5;5001;5001032;ANTIOQUIA;MEDELLÍN;TRAVESÍAS;CP
5;5001;5001033;ANTIOQUIA;MEDELLÍN;URQUITA;CP
5;5001;5001035;ANTIOQUIA;MEDELLÍN;BOQUERÓN;CP
5;5001;5001039;ANTIOQUIA;MEDELLÍN;EL LLANO 1;CP
5;5001;5001040;ANTIOQUIA;MEDELLÍN;EL LLANO;CP
5;5001;5001048;ANTIOQUIA;MEDELLÍN;LA VERDE;CP
5;5001;5001052;ANTIOQUIA;MEDELLÍN;MATASANO;CP
5;5001;5001054;ANTIOQUIA;MEDELLÍN;MATASANO 2;CP
5;5001;5001055;ANTIOQUIA;MEDELLÍN;MAZO;CP
5;5001;5001057;ANTIOQUIA;MEDELLÍN;MEDIA LUNA;CP
5;5001;5001066;ANTIOQUIA;MEDELLÍN;LAS CAMELIAS;CP
5;5002;5002000;ANTIOQUIA;ABEJORRAL;ABEJORRAL;CM
5;5002;5002002;ANTIOQUIA;ABEJORRAL;PANTANILLO;CP
5;5002;5002004;ANTIOQUIA;ABEJORRAL;NARANJAL - LAS FONDAS;CP
5;5002;5002016;ANTIOQUIA;ABEJORRAL;LAS CANOAS;CP
5;5004;5004000;ANTIOQUIA;ABRIAQUÍ;ABRIAQUÍ;CM
5;5004;5004003;ANTIOQUIA;ABRIAQUÍ;POTREROS SECTOR 1;CP
5;5021;5021000;ANTIOQUIA;ALEJANDRÍA;ALEJANDRÍA;CM
5;5030;5030000;ANTIOQUIA;AMAGÁ;AMAGÁ;CM
5;5030;5030001;ANTIOQUIA;AMAGÁ;CAMILO C;CP
5;5030;5030003;ANTIOQUIA;AMAGÁ;LA CLARITA;CP
5;5030;5030004;ANTIOQUIA;AMAGÁ;LA FERREIRA;CP
5;5030;5030005;ANTIOQUIA;AMAGÁ;LA GUALÍ;CP
5;5030;5030006;ANTIOQUIA;AMAGÁ;PIEDECUESTA;CP
5;5030;5030011;ANTIOQUIA;AMAGÁ;MINAS;CP
5;5030;5030012;ANTIOQUIA;AMAGÁ;CAMILO C - ALTO DE LA VIRGEN;CP
5;5030;5030013;ANTIOQUIA;AMAGÁ;PIEDECUESTA - MANI DE LAS CASAS;CP
5;5031;5031000;ANTIOQUIA;AMALFI;AMALFI;CM
5;5031;5031004;ANTIOQUIA;AMALFI;PORTACHUELO;CP
5;5034;5034000;ANTIOQUIA;ANDES;ANDES;CM
5;5034;5034001;ANTIOQUIA;ANDES;BUENOS AIRES;CP
5;5034;5034003;ANTIOQUIA;ANDES;SAN JOSÉ;CP
5;5034;5034006;ANTIOQUIA;ANDES;SANTA RITA;CP
5;5034;5034007;ANTIOQUIA;ANDES;TAPARTÓ;CP
5;5034;5034012;ANTIOQUIA;ANDES;SANTA INÉS;CP
5;5034;5034014;ANTIOQUIA;ANDES;SAN BARTOLO;CP
5;5034;5034015;ANTIOQUIA;ANDES;LA CHAPARRALA - LA UNIÓN;CP
5;5036;5036000;ANTIOQUIA;ANGELÓPOLIS;ANGELÓPOLIS;CM
5;5036;5036001;ANTIOQUIA;ANGELÓPOLIS;LA ESTACIÓN;CP
5;5036;5036006;ANTIOQUIA;ANGELÓPOLIS;SANTA RITA;CP
5;5036;5036011;ANTIOQUIA;ANGELÓPOLIS;CIENAGUITA;CP
5;5038;5038000;ANTIOQUIA;ANGOSTURA;ANGOSTURA;CM
5;5038;5038008;ANTIOQUIA;ANGOSTURA;LLANOS DE CUIBA;CP
5;5040;5040000;ANTIOQUIA;ANORÍ;ANORÍ;CM
